Date,Open,High,Low,Close,Adj Close,Volume
2022-03-16,12.830000,14.575000,12.830000,14.490000,14.490000,4789700
2022-03-17,14.180000,14.720000,13.770000,14.570000,14.570000,3505800
2022-03-18,15.170000,18.090000,15.120000,17.850000,17.850000,12119100
2022-03-21,17.520000,17.790001,16.840000,17.049999,17.049999,4953100
2022-03-22,17.010000,18.860001,17.010000,18.610001,18.610001,5948600
2022-03-23,18.180000,20.910000,17.830000,20.200001,20.200001,9375100
2022-03-24,20.200001,22.280001,19.860001,21.650000,21.650000,7642300
2022-03-25,21.389999,21.620001,19.080000,19.719999,19.719999,8603200
2022-03-25,21.389999,21.620001,19.080000,19.719999,19.719999,8573667
